timeR390,depthR390,dlsR390,,timeR261,depthR261,dlsR261,,timeR535,depthR535,dlsR535,,timeR641,depthR641,dlsR641,,timeR384b1,depthR384b1,dlsR384b1,,timeR384b2,depthR384b2,dlsR384b2,,timeR503,depthR503,dlsR503,,timeR607,depthR607,dlsR607
0:30:16,21710,6.3,,1:28:14,10639,1.17,,0:27:42,12823,2.36,,0:39:59,17062,0.96,,0:01:04,15770,0.53,,2:25:53,17090,1.22,,0:52:18,14260,2.72,,1:53:57,23865,0.86
1:49:06,21805,7.26,,3:15:22,10733,5.15,,0:49:20,12916,1.23,,1:48:29,17157,0.33,,1:34:12,15865,2.47,,4:21:42,17184,1.33,,2:14:57,14355,2.96,,4:20:05,23960,0.72
2:31:19,21899,0.83,,5:44:30,10826,7.83,,2:03:19,13008,1.3,,3:01:58,17251,0.17,,3:01:18,15959,1.45,,5:14:54,17279,0.32,,4:04:21,14449,0.36,,6:30:52,24054,0.28
3:12:14,21994,0.35,,,,,,2:24:52,13101,0.84,,4:19:41,17346,1.32,,4:07:49,16054,0.84,,6:14:50,17373,0.79,,5:45:34,14544,4.1,,8:40:36,24149,3.28
3:53:27,22088,0.62,,,,,,3:22:39,13193,1.62,,5:28:35,17441,1.09,,6:01:10,16148,1.9,,8:08:32,17468,2.45,,7:37:11,14638,0.75,,11:11:11,24243,1.17
4:34:47,22182,0.63,,,,,,3:45:06,13284,0.79,,6:42:26,17535,0.52,,7:28:23,16242,0.55,,9:04:52,17562,2.09,,9:13:56,14733,2.36,,,,
5:19:36,22277,1.63,,,,,,4:05:50,13377,1.2,,,,,,8:39:58,16336,2.09,,,,,,10:34:07,14827,2.66,,,,
6:05:10,22371,1.82,,,,,,5:15:35,13470,2.94,,,,,,9:39:03,16430,2.28,,,,,,11:32:41,14922,0.22,,,,
6:50:53,22466,0.09,,,,,,5:37:36,13562,0.9,,,,,,11:41:39,16524,2.83,,,,,,12:28:18,15017,1.71,,,,
7:31:58,22560,1.08,,,,,,5:59:46,13655,1.59,,,,,,13:24:09,16617,1.82,,,,,,13:27:16,15111,0.74,,,,
8:13:10,22654,0.32,,,,,,7:01:02,13746,3.44,,,,,,15:04:36,16712,1.28,,,,,,14:16:31,15206,1.38,,,,
8:57:57,22748,0.1,,,,,,8:01:33,13838,0.73,,,,,,16:09:00,16807,0.9,,,,,,15:19:02,15300,0.1,,,,
9:48:20,22843,0.73,,,,,,8:31:11,13932,2.89,,,,,,,,,,,,,,16:34:53,15394,1.04,,,,
10:30:06,22938,0.5,,,,,,8:58:29,14026,1.26,,,,,,,,,,,,,,18:06:20,15489,2.19,,,,
11:13:24,23032,0.23,,,,,,10:02:07,14120,2.03,,,,,,,,,,,,,,19:15:19,15584,0.56,,,,
11:58:37,23127,0.56,,,,,,10:27:58,14215,0.65,,,,,,,,,,,,,,20:30:50,15679,0.77,,,,
12:40:35,23221,0.47,,,,,,10:55:31,14310,0.05,,,,,,,,,,,,,,21:43:45,15773,1.34,,,,
13:22:39,23316,0.43,,,,,,11:27:04,14404,0.65,,,,,,,,,,,,,,22:57:35,15868,0.44,,,,
14:10:03,23411,0.29,,,,,,12:59:52,14499,1.42,,,,,,,,,,,,,,,,,,,,
14:55:04,23506,0.75,,,,,,13:39:27,14594,0.5,,,,,,,,,,,,,,,,,,,,
15:41:39,23601,1.21,,,,,,14:29:05,14689,1.45,,,,,,,,,,,,,,,,,,,,
16:28:27,23695,0.16,,,,,,14:56:29,14784,1.55,,,,,,,,,,,,,,,,,,,,
17:13:34,23790,0.58,,,,,,15:24:24,14879,0.82,,,,,,,,,,,,,,,,,,,,
17:56:50,23885,1.12,,,,,,16:25:19,14974,1.68,,,,,,,,,,,,,,,,,,,,
18:39:38,23980,0.35,,,,,,16:55:37,15068,1.23,,,,,,,,,,,,,,,,,,,,
19:29:06,24075,1.42,,,,,,17:25:35,15163,1.02,,,,,,,,,,,,,,,,,,,,
20:12:24,24171,1.11,,,,,,17:57:51,15258,0.65,,,,,,,,,,,,,,,,,,,,
20:58:46,24266,0.39,,,,,,19:23:58,15353,2.49,,,,,,,,,,,,,,,,,,,,
,,,,,,,,19:56:00,15449,0.42,,,,,,,,,,,,,,,,,,,,
,,,,,,,,22:08:14,15544,1.86,,,,,,,,,,,,,,,,,,,,
