Rig,Date,Agitator
486,5/13/2023,Y
503,5/9/2023,N
486,5/7/2023,Y
486,5/9/2023,Y
522,5/6/2023,Y
390,4/30/2023,N
543,4/23/2023,N
543,4/2/2023,N
543,3/29/2023,N
445,3/26/2023,Y
255,3/17/2023,Y
648,3/9/2023,N
444,2/24/2023,N
445,2/16/2023,N
261,2/20/2023,N
547,2/2/2023,Y
535,2/2/2023,Y
502,1/15/2023,N
607,12/16/2022,N
547,11/30/2022,Y
503,11/27/2022,N
249,11/10/2022,
648,10/20/2022,N
648,10/16/2022,Y
648,10/5/2022,N
641,10/10/2022,N
547,9/17/2022,Y
445,9/18/2022,Y
384,9/9/2022,N
494,9/2/2022,N
384,9/12/2022,N
384,9/9/2022,N
503,8/12/2023,N
523,8/18/2022,N
