rig,torque,speed,depth,fwdwraps,revwraps,offset,bitsize,pipesize
R249,12,60,5871,0.1,0.1,0,8.5,5.5
R255,30,75,20330,13,14,0.65,8.5,5.5
R261,15,80,10980,0.3,0.3,4.53,8.75,5.5
R384,9.5,40,17750,0,0,-6.1,6.75,5
R390,15,20,24340,0,0,0,6.75,5
R444,20,45,19140,7,9,-2,8.5,5.5
R473,13,40,16740,4.2,4.2,-1.25,6.75,5
R486,16.6,55,23910,15,15,-0.48,6.75,4.5
R494,17.4,70,23220,5.1,6,-3.55,8.75,5
R503,8,60,15944,6,6,-2,6.75,5
R514,26,70,26020,10.5,11,1,6.75,5
R522,20,60,9890,5,5,-0.375,7.875,5
R523,18,50,16310,7.2,7.2,-2,6.75,5.5
R529,27,80,26020,6.1,8,-4,6.75,5
R535,13.3,40,1390,0,0,0,6.75,5
R543,16,45,19140,7,9,0.75,6.75,5
R547,13.5,43,18180,2.5,3.2,-1.5,7.875,5
R607,10,5,24360,0,0,1,6.75,4.5
R641,15.8,40,17750,0,0,0,6.75,4.5
R648,28.4,65,17670,7.5,7.5,-1,8.75,5.5
